"sample.depths","sample.ages","upland.sum","Acer.negundo","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cyperaceae","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Rumex","Salix","Thalictrum","Tilia","Ulmus","Apiaceae","Alnus","Ambrosia","Juniperus.Thuja","Populus","Poaceae","Brassicaceae","Dalea.candida","Iva.xanthifolia","Abies.balsamea","Acer.saccharum","Pinus.banksiana.P..resinosa","Fraxinus.nigra","Fraxinus.pennsylvanica","Humulus.lupulus","Pinus.strobus.type","Parthenocissus","Asteraceae.subf..Asteroideae.undiff.","Juglans","Polygonum","Carya","Caryophyllaceae","Sarcobatus.vermiculatus","Plantago","Larix.laricina","Vitis","Galium","Ephedra","Iva.annua","Acer.rubrum","Celtis","Liliaceae","Amorpha","Rosaceae","Ericaceae","Xanthium","Hydrophyllum.virginianum","Ranunculaceae.undiff.","Dalea.purpurea","Impatiens","Platanus","Lythrum.alatum","Viburnum.lentago","Lamiaceae","Arceuthobium","Shepherdia.argentea","Shepherdia.canadensis"
785,7670,378,0,47,8,18,2,41,0,1,1,27,85,0,1,0,0,7,0,3,51,2,1,73,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,7853,435,1,28,4,13,3,66,0,0,1,12,139,0,3,0,0,3,0,7,76,1,4,40,0,1,0,0,0,0,0,13,0,1,0,4,0,0,1,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835,8280,486,0,35,2,31,2,33,0,1,3,21,121,0,3,0,0,3,1,0,162,0,3,37,0,3,0,1,0,4,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
855,8524,361,0,56,8,19,4,23,1,6,5,33,72,0,11,0,0,1,0,4,45,0,2,46,0,0,1,1,0,4,1,2,0,2,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
885,8890,373,0,43,8,15,8,38,1,0,11,20,112,0,9,0,0,3,0,4,17,0,4,60,0,0,0,0,0,8,0,2,0,1,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,9195,408,1,37,10,10,9,37,0,4,10,57,98,0,3,0,0,7,1,6,12,5,3,84,0,0,0,0,0,6,0,2,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
935,9500,352,0,37,22,14,7,23,1,4,11,37,50,0,6,1,0,4,0,11,29,4,8,60,0,1,0,0,1,4,4,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
960,9805,341,0,30,31,9,1,30,0,0,13,73,31,0,4,0,0,1,0,3,12,3,13,57,0,0,0,0,1,10,1,0,9,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
985,10111,369,0,33,24,16,9,55,0,0,7,74,27,0,10,0,0,5,0,5,16,2,9,40,0,0,1,0,0,23,3,1,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0
1010,10416,444,0,18,27,18,5,43,0,6,10,131,19,0,6,1,0,22,0,8,18,4,21,43,0,0,0,0,1,32,1,0,0,0,0,1,1,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1045,10843,371,0,19,26,6,6,35,0,7,9,96,15,0,11,1,0,13,0,5,6,3,16,43,0,0,1,0,1,39,4,1,0,1,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1060,NA,444,6,10,135,2,11,16,0,6,64,43,22,0,5,1,0,15,0,3,2,4,39,12,0,0,0,0,0,23,11,1,0,0,0,1,0,0,1,0,1,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1085,NA,412,2,7,85,3,18,28,0,10,71,27,11,0,7,0,0,13,0,3,1,8,41,15,0,0,0,0,0,24,16,1,0,0,0,1,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1090,NA,386,0,7,24,3,1,22,0,0,157,13,16,0,6,0,0,18,0,7,4,11,56,10,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1095,NA,433,0,20,22,0,2,28,0,3,260,3,4,0,4,0,0,5,0,6,1,2,19,16,0,0,0,0,0,2,3,0,0,0,0,2,0,0,0,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
