"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Betula","Brassicaceae","Cannabaceae","Carya","Caryophyllaceae","Celtis","Cerealia","Corylus","Cupressaceae","Cyperaceae","Dalea","Ephedra","Ericaceae","Fabaceae.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Herbs.undiff.","Impatiens","Indeterminable","Iva.annua.type","Iva.undiff.","Iva.xanthifolia.type","Juglans.cinerea","Juglans.undiff.","Lamiaceae","Larix","Liliaceae","Liquidambar","Lycopodium.type","Malvaceae","Menyanthes.trifoliata","Morus","Nuphar","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Polemoniaceae","Polygonaceae.undiff.","Populus","Quercus","Ranunculaceae.undiff.","Rhamnaceae.Vitaceae","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown"
860,9195,0,0,0,0,4,1,15,60,0,0,42,9,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,3,1,0,0,0,7,6,0,4,0,0,0,0,0,0,0,0,0,0,0,4,3,0,2,15,0,0,83,0,0,0,23,2,0,0,0,12,0,0,0,4,0,0,0,5,17,1
870,9254,0,0,0,0,0,2,23,69,0,0,28,5,0,0,2,2,0,2,0,1,0,1,0,8,3,0,0,0,3,1,0,0,0,16,4,0,2,0,0,0,0,0,0,0,1,0,0,0,3,10,0,2,9,0,0,64,1,0,0,34,2,0,0,1,6,1,0,0,1,2,0,0,2,19,3
880,9406,1,0,0,0,5,3,11,40,1,0,31,8,0,0,2,0,0,0,0,1,0,2,0,16,3,0,0,1,2,3,0,0,0,6,5,0,1,0,0,0,2,0,0,0,0,0,0,0,12,17,0,1,18,0,1,64,0,0,0,42,1,0,0,0,8,0,0,0,1,1,0,0,4,29,0
890,9559,1,0,0,0,5,2,14,31,0,0,39,13,0,0,7,3,0,7,0,0,0,2,0,11,0,0,0,1,0,0,0,0,0,4,6,0,3,1,2,0,0,0,0,0,0,0,0,0,8,9,1,4,8,0,1,62,0,0,0,31,0,0,0,0,7,0,0,0,0,0,0,0,5,36,1
900,9711,0,0,0,2,4,2,7,58,0,0,32,17,0,0,1,0,0,2,0,1,0,1,0,19,0,0,0,0,1,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,16,0,0,41,0,0,0,41,0,0,0,0,6,0,0,0,0,0,0,0,3,37,2
910,9863,1,0,0,1,5,4,11,39,0,0,32,7,0,0,9,0,0,2,0,0,0,5,0,20,0,0,0,0,5,5,0,0,0,5,0,0,5,0,4,0,1,0,0,0,1,0,0,0,3,19,0,0,13,0,1,44,0,0,0,30,0,0,0,0,4,1,0,0,0,1,0,0,2,36,1
920,10015,2,0,1,1,5,3,3,42,0,0,14,6,0,0,4,1,0,7,0,0,0,5,0,12,1,0,0,2,4,4,0,1,0,7,3,0,5,0,2,0,0,0,0,0,0,0,0,0,12,6,2,1,11,0,0,62,1,0,0,45,0,0,0,0,2,0,0,0,0,4,0,0,2,77,0
930,10168,0,0,0,0,3,2,8,46,0,2,12,6,0,0,2,0,0,6,0,1,0,2,0,5,0,0,0,0,2,2,0,0,0,6,1,0,4,0,6,0,0,0,0,0,0,0,0,0,12,2,1,0,19,0,1,59,0,0,0,58,0,0,0,0,4,0,0,0,11,1,1,0,3,53,1
940,10270,1,0,0,0,2,0,6,44,0,0,4,3,0,0,6,0,0,8,0,1,0,6,0,6,0,0,0,0,6,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,2,1,0,9,0,0,31,0,0,0,50,0,0,0,1,0,0,0,0,0,2,0,0,1,94,0
950,10324,0,0,0,0,6,2,7,39,0,0,3,8,0,0,11,0,0,6,0,1,0,1,0,7,0,0,0,0,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,13,0,0,21,0,0,0,28,0,0,0,1,1,0,0,1,1,0,0,0,1,113,3
960,10377,0,0,0,0,2,7,6,23,0,1,11,4,0,0,2,0,0,6,0,2,0,1,0,3,0,0,0,0,3,4,0,0,0,4,1,0,1,0,10,0,0,0,0,0,0,0,0,0,17,5,0,0,9,0,0,21,0,0,0,56,0,1,0,0,0,0,0,0,1,2,0,0,1,129,0
970,10430,1,0,0,1,6,2,2,12,0,0,7,4,0,0,1,0,0,10,0,4,0,5,0,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,17,1,0,0,11,0,0,27,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0
990,10537,0,0,2,2,6,3,8,10,0,0,2,2,0,0,2,1,0,9,0,6,0,4,0,0,0,0,0,0,10,3,0,1,0,6,1,0,0,0,2,0,0,0,0,0,0,0,0,0,36,2,0,1,14,0,0,18,0,0,0,76,0,0,0,0,4,0,0,0,0,4,0,0,0,98,0
1000,10590,0,0,0,2,7,3,2,4,0,0,6,0,0,0,21,1,0,8,0,1,0,1,0,2,0,0,0,0,23,11,0,1,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,1,14,4,0,0,11,0,0,4,0,0,0,102,0,0,0,0,2,0,0,0,0,3,0,0,2,100,0
1010,10644,1,0,0,0,7,3,1,5,0,0,5,3,0,0,30,0,0,6,0,2,0,15,0,1,0,0,0,0,11,10,0,0,0,4,1,0,0,0,8,0,0,0,0,0,0,0,0,0,31,3,4,0,9,0,0,7,0,0,0,91,0,0,0,0,4,0,0,0,0,1,0,0,0,107,0
1020,10697,5,0,0,0,8,2,2,4,0,0,1,1,0,0,30,0,0,4,0,1,0,6,1,4,0,0,0,0,32,10,0,0,0,7,0,0,0,0,4,0,2,0,0,0,0,0,0,0,7,5,0,0,7,0,0,7,0,0,0,80,0,0,0,0,2,0,0,0,0,0,0,0,1,100,1
1030,11874,3,0,0,2,1,9,2,1,0,0,5,2,0,0,62,0,0,0,0,0,0,14,0,0,0,0,0,0,49,8,0,0,0,3,0,0,1,0,2,0,2,0,0,0,0,0,0,0,4,21,0,0,5,0,0,7,0,0,0,33,1,0,3,0,3,0,1,0,2,0,0,0,1,90,4
