"sample.depths","sample.ages","Artemisia","Betula","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Alnus.incana","Ambrosia","Fabaceae","Alnus.viridis","Myrica","Populus","Amaranthaceae","Poaceae","Epilobium","Fagus","Salix","Tsuga","Fraxinus","Ostrya","Rosaceae.undiff.","Ranunculaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Acer","Rubus.chamaemorus","Thalictrum","Abies","Rumex","Polygonum.viviparum","Plantago","Platanus","Brassicaceae","Rubiaceae","Carya","Caryophyllaceae","Castanea","Juglans"
104,3964,0.00676818950930626,0.152284263959391,0,0.0050761421319797,0.00169204737732657,0.00846023688663283,0.00169204737732657,0.548223350253807,0.00676818950930626,0.0050761421319797,0.00676818950930626,0.00169204737732657,0.011844331641286,0,0,0.235194585448393,0.00338409475465313,0,0,0.0050761421319797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,4084,0.00142450142450142,0.122507122507123,0,0.00284900284900285,0.00712250712250712,0.00997150997150997,0.00284900284900285,0.497150997150997,0.00854700854700855,0,0.00142450142450142,0.00142450142450142,0.0142450142450142,0.00284900284900285,0,0.300569800569801,0.0056980056980057,0,0.00142450142450142,0.00997150997150997,0.00142450142450142,0,0.0056980056980057,0,0.00142450142450142,0.00142450142450142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,4141,0.00610687022900763,0.126717557251908,0,0,0.00305343511450382,0.00610687022900763,0.00610687022900763,0.497709923664122,0.00763358778625954,0.00152671755725191,0.00305343511450382,0.00305343511450382,0.00916030534351145,0,0,0.319083969465649,0.00305343511450382,0.00152671755725191,0.00152671755725191,0.00305343511450382,0,0,0,0,0,0.00152671755725191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,4196,0.00255102040816327,0.159438775510204,0,0.0038265306122449,0.00255102040816327,0.00637755102040816,0.00255102040816327,0.451530612244898,0.00637755102040816,0,0.0114795918367347,0.00255102040816327,0.0229591836734694,0,0,0.302295918367347,0.0038265306122449,0.00510204081632653,0,0.00637755102040816,0,0,0.0038265306122449,0,0,0.00127551020408163,0.00127551020408163,0,0,0.0038265306122449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,4250,0.00684931506849315,0.201369863013699,0,0.00136986301369863,0.00136986301369863,0.00273972602739726,0.00410958904109589,0.397260273972603,0.00273972602739726,0.00136986301369863,0.00273972602739726,0,0.0095890410958904,0,0,0.345205479452055,0.00684931506849315,0,0,0.00684931506849315,0.00136986301369863,0,0.00273972602739726,0.00136986301369863,0,0,0,0,0.00273972602739726,0,0,0,0,0,0,0.00136986301369863,0,0,0,0,0,0,0,0,0
130,4330,0.00323624595469256,0.161812297734628,0,0,0.00485436893203883,0.00485436893203883,0.00161812297734628,0.372168284789644,0.0113268608414239,0,0.00161812297734628,0,0.00647249190938511,0.00323624595469256,0,0.402912621359223,0.00970873786407767,0.00161812297734628,0,0.00323624595469256,0.00161812297734628,0,0.00161812297734628,0,0,0.00161812297734628,0,0,0.00485436893203883,0.00161812297734628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,4409,0.00441826215022091,0.209131075110457,0.00147275405007364,0.00147275405007364,0.00441826215022091,0.00736377025036819,0.00294550810014728,0.459499263622975,0.00589101620029455,0,0.00441826215022091,0.00147275405007364,0.0103092783505155,0,0,0.281296023564065,0,0,0.00147275405007364,0.00147275405007364,0,0,0,0,0,0,0.00147275405007364,0,0,0,0,0,0.00147275405007364,0,0,0,0,0,0,0,0,0,0,0,0
140,4463,0.00142857142857143,0.147142857142857,0.00285714285714286,0.00142857142857143,0.00571428571428571,0.00428571428571429,0.00285714285714286,0.42,0.0142857142857143,0,0.00571428571428571,0,0.00571428571428571,0.00142857142857143,0,0.364285714285714,0.00857142857142857,0.00142857142857143,0.00142857142857143,0.00571428571428571,0,0,0.00285714285714286,0,0.00142857142857143,0.00142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,4517,0,0.184466019417476,0,0,0.00485436893203883,0.00728155339805825,0.00242718446601942,0.37378640776699,0.00364077669902913,0,0.00606796116504854,0.00242718446601942,0.0121359223300971,0.00121359223300971,0,0.379854368932039,0.00121359223300971,0,0.00121359223300971,0.00606796116504854,0,0,0.00364077669902913,0,0.00242718446601942,0.00121359223300971,0,0,0.00121359223300971,0,0,0,0,0,0.00364077669902913,0,0.00121359223300971,0,0,0,0,0,0,0,0
150,4601,0.00154320987654321,0.169753086419753,0,0.00308641975308642,0.00154320987654321,0.0123456790123457,0.00617283950617284,0.433641975308642,0.00925925925925926,0,0.00308641975308642,0,0.00771604938271605,0.00154320987654321,0,0.339506172839506,0.00462962962962963,0,0.00154320987654321,0.00154320987654321,0,0,0.00154320987654321,0,0,0,0.00154320987654321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,4690,0.00661157024793388,0.173553719008264,0,0,0.00495867768595041,0.00661157024793388,0.00330578512396694,0.44297520661157,0.00165289256198347,0,0.00826446280991736,0,0.00991735537190083,0,0,0.325619834710744,0.00330578512396694,0,0,0.00165289256198347,0.00330578512396694,0,0.00661157024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00165289256198347,0,0,0,0,0,0,0
160,4752,0,0.151382823871907,0,0.00145560407569141,0.00145560407569141,0.00436681222707424,0.00582241630276565,0.366812227074236,0.00727802037845706,0.00145560407569141,0.00582241630276565,0,0.0116448326055313,0.00291120815138282,0,0.425036390101892,0.00582241630276565,0,0,0.00291120815138282,0,0,0.00291120815138282,0,0.00145560407569141,0,0,0,0.00145560407569141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,4852,0.00647249190938511,0.150485436893204,0,0.00485436893203883,0.00323624595469256,0.00647249190938511,0.00323624595469256,0.419093851132686,0.00647249190938511,0.00161812297734628,0.00161812297734628,0,0.0323624595469256,0,0,0.346278317152104,0.00970873786407767,0,0,0.00485436893203883,0,0,0.00161812297734628,0,0.00161812297734628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,4960,0.0079113924050633,0.200949367088608,0,0,0.00474683544303797,0.00632911392405063,0.00316455696202532,0.395569620253165,0.00158227848101266,0,0,0,0.0189873417721519,0.00474683544303797,0,0.335443037974684,0.00632911392405063,0,0.00316455696202532,0.00474683544303797,0,0,0.00316455696202532,0,0,0,0,0,0,0.00316455696202532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,5037,0.00303490136570561,0.201820940819423,0,0.00151745068285281,0.00303490136570561,0.00151745068285281,0.00151745068285281,0.377845220030349,0.00606980273141123,0,0.00151745068285281,0.00151745068285281,0.00455235204855842,0,0,0.379362670713202,0.00303490136570561,0.00303490136570561,0,0.00606980273141123,0,0,0.00455235204855842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
