"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Alnus.incana","Alnus.viridis.type","Betula","Carya","Celtis","Cephalanthus","Cornus.sericea.type","Corylus","Cupressaceae","Ephedra.trifurca.type","Ephedra.viridis.type","Ericaceae","Fagus.grandifolia","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Liquidambar.styraciflua","Morus","Ostrya.type","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera.type","Populus.tremuloides.type","Populus.undiff.","Quercus","Rhus","Rubus","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Tilia","Ulmus","Vitis","Allium","Ambrosia.type","Amorpha.type","Anemone.canadensis.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Campanula","Caryophyllaceae","Amaranthaceae","Dalea.purpurea","Euphorbia","Fagopyrum","Galium","Humulus.lupulus","Impatiens","Iva.annua.type","Iva.xanthifolia.type","Lamiaceae.undiff.","Liliaceae","Lycopus.type","Phlox","Pilea.type","Poaceae","Polemonium","Polygonum.amphibium","Polygonum.aviculare.type","Polygonum.lapathifolium.type","Polygonum.undiff.","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Sanguisorba","Thalictrum","Urtica","Xanthium","Cyperaceae","Engelhardtia"
390,5744,348,0,0,0,0,0,1,0,0,12,1,0,1,0,0,0,0,0,1,13,2,0,0,1,1,0,0,2,0,2,1,0,0,11,12,0,1,0,140,0,0,5,0,0,0,0,26,0,0,44,0,0,0,3,0,0,0,0,1,8,1,0,0,0,0,0,1,0,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,4,0,0,27,0
405,5868,306,0,0,0,0,0,0,0,0,5,0,0,2,1,0,0,0,0,1,6,0,0,0,1,1,0,0,0,0,3,0,1,0,8,7,0,0,0,147,0,0,1,0,0,0,0,16,0,0,55,0,0,0,3,1,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0,0,2,0,0,0,0,0,0,0,16,0
420,5993,351,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,1,5,2,0,0,4,2,1,0,0,0,1,0,0,0,4,7,0,0,0,180,0,0,5,0,0,0,1,30,0,0,32,0,0,0,3,1,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,2,0,0,0,0,0,0,0,10,0
435,6118,309,0,0,0,0,0,1,0,1,18,0,0,1,0,0,0,0,0,10,2,2,0,0,1,6,1,0,0,0,3,0,0,0,7,1,0,0,0,146,2,0,2,0,0,0,2,26,0,0,37,1,0,0,1,2,0,0,0,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,7,0
450,6139,310,0,0,0,0,0,1,0,1,20,1,0,2,0,0,0,0,0,1,4,0,0,0,0,2,1,0,2,0,3,0,0,0,9,9,0,0,0,136,0,0,1,0,0,0,2,24,1,0,33,1,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,1,0,0,11,0
465,6160,300,0,0,0,0,0,2,0,0,9,0,0,0,4,4,1,0,0,6,3,1,0,0,3,6,0,0,1,0,3,0,0,0,0,5,1,2,2,130,0,0,2,0,0,0,0,19,1,0,16,1,0,1,4,2,0,1,0,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,0,21,0
480,6181,331,0,0,0,0,0,2,0,0,19,0,0,1,0,0,0,0,0,0,5,2,0,0,3,4,0,0,0,0,2,0,0,0,6,9,0,0,0,164,0,0,3,0,0,0,1,36,1,0,19,0,0,0,1,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,0,0,0,0,0,0,0,22,0
495,6201,334,0,0,0,0,0,0,0,1,21,1,0,3,0,0,0,0,0,3,5,0,0,0,2,1,0,0,0,0,0,0,0,0,5,4,0,1,0,165,0,0,1,0,0,0,1,36,0,0,17,0,0,0,2,3,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0,4,0,0,0,0,0,0,0,19,0
510,6222,347,0,0,0,0,0,0,0,1,18,0,0,0,0,1,0,0,0,8,6,3,0,0,1,5,8,0,1,0,1,0,0,0,14,7,0,0,1,140,0,0,1,0,0,0,0,16,1,0,20,2,0,0,1,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0,42,0
525,6243,327,0,0,0,0,0,1,0,0,17,0,0,2,1,0,0,0,0,4,6,3,0,0,1,3,4,0,1,0,4,0,0,0,7,10,0,0,0,172,0,0,1,0,0,0,1,29,2,0,22,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,3,0,0,1,0,0,0,0,13,0
540,6264,343,0,0,0,0,0,2,0,0,21,1,0,2,4,0,0,0,0,1,5,2,0,0,1,4,3,0,0,0,0,0,0,0,8,7,0,0,0,148,0,0,2,0,0,0,1,22,0,0,22,4,0,0,1,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,2,0,0,1,0,0,0,0,25,0
555,6285,320,0,0,0,0,0,1,0,0,21,1,0,0,0,2,0,0,0,1,3,4,0,0,4,1,0,0,1,1,0,0,0,0,7,2,0,0,1,178,0,0,0,0,0,0,3,31,0,0,20,6,0,0,5,2,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,9,0
570,6306,325,0,0,0,0,0,3,0,1,21,0,0,1,2,0,0,0,0,2,5,3,0,0,3,1,1,0,2,0,4,0,0,0,5,5,0,0,0,171,0,0,3,0,0,0,1,34,0,0,22,2,0,0,2,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,12,0
585,6327,317,0,0,0,0,0,0,0,0,22,0,0,1,1,0,0,0,0,1,4,1,0,0,1,4,2,0,0,0,2,0,0,0,7,7,0,0,0,165,0,0,2,0,0,0,0,31,0,0,33,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,19,0
600,6348,324,0,0,0,0,0,0,0,0,19,2,0,1,0,0,0,0,0,5,1,2,0,0,5,2,2,0,2,0,5,0,0,0,5,13,0,0,0,160,0,0,2,0,0,0,0,26,0,0,22,0,0,0,1,5,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,15,0
615,6369,333,0,0,0,0,0,2,0,0,23,1,0,7,1,0,0,0,0,2,9,0,0,0,2,7,0,0,2,0,1,1,0,0,2,3,0,0,0,120,0,0,3,0,0,0,0,32,0,0,43,1,0,0,3,4,0,0,0,0,20,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,4,0,0,3,0,0,0,0,20,0
630,6390,341,0,0,0,0,0,1,0,0,23,1,0,2,6,1,0,0,0,2,2,3,0,0,2,5,0,0,1,0,4,0,0,0,7,7,0,0,0,166,0,0,3,0,0,0,2,36,0,0,32,1,0,0,2,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,4,0,0,1,0,0,0,0,4,0
645,6411,337,0,0,0,0,0,3,1,1,12,0,0,2,5,0,1,0,0,1,6,6,0,0,0,2,0,0,0,0,8,0,0,0,3,7,0,0,2,169,0,0,3,0,0,0,2,46,0,0,17,5,0,0,1,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,2,0,0,12,0
660,6432,347,0,0,0,0,0,1,0,1,21,1,0,1,0,0,0,0,0,3,0,2,0,0,2,8,0,0,0,0,4,0,0,0,4,1,0,0,1,190,0,0,2,0,0,0,2,52,0,0,25,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,9,0
675,6453,377,0,0,0,0,0,0,0,1,17,3,0,0,0,1,0,0,0,0,3,3,0,0,1,11,3,0,1,0,4,0,0,0,3,8,0,0,0,185,0,0,4,0,0,0,1,53,0,0,36,2,0,0,4,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,1,0,0,0,0,2,0,0,13,0
690,6474,342,0,0,0,0,0,2,0,1,30,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,0,1,0,9,0,0,0,4,10,0,0,0,195,0,0,2,0,0,0,1,33,1,0,17,0,0,0,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,11,0
705,6495,365,0,0,0,0,0,0,0,0,18,3,0,1,0,2,0,0,0,3,3,1,0,0,2,5,0,0,2,0,4,0,0,0,3,3,0,0,1,182,0,0,5,0,0,0,1,59,0,0,32,0,0,1,2,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,1,0,0,0,0,0,0,0,7,0
720,6585,351,0,0,0,0,0,0,0,1,17,0,0,0,5,0,0,0,0,1,3,3,0,0,3,3,0,0,0,0,6,0,0,0,5,4,0,0,0,189,0,0,1,0,0,0,1,53,0,0,25,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,1,0,0,1,0,0,0,0,12,0
735,6675,335,0,0,0,0,1,1,0,1,19,0,0,4,2,0,0,0,0,0,1,3,0,0,5,3,0,0,2,0,4,0,0,0,5,5,0,0,0,165,0,0,0,0,0,0,3,49,0,0,34,0,0,0,1,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0
750,6766,338,0,0,0,0,0,0,0,1,19,0,0,1,1,0,0,0,0,2,6,5,0,0,4,6,0,0,2,0,11,0,0,0,4,13,0,0,0,157,0,0,2,0,0,0,0,53,0,0,21,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,12,0
765,6856,337,0,0,0,0,0,0,0,1,11,0,0,7,2,0,0,0,0,2,2,0,0,0,7,4,0,0,0,0,12,0,0,0,3,16,0,0,0,153,0,0,5,0,0,0,0,41,0,0,25,1,0,0,2,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,0,1,0,0,0,0,0,0,0,16,0
780,6947,395,0,0,0,0,0,0,0,2,26,3,0,0,4,0,0,0,0,2,2,6,0,0,2,5,0,0,0,0,5,0,0,0,2,3,0,0,0,209,0,0,2,0,0,0,2,41,0,0,41,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,1,0,0,2,0,0,0,0,9,0
