"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus.sericea","Corylus","Elaeagnus","Ephedra","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Liquidambar","Liriodendron","Magnolia","Morus","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.subg..Pinus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Epilobium","Galium","Plantago.lanceolata","Plantago.major","Plantago.undiff.","Poaceae.undiff.","Polygonum","Ranunculus","Rosaceae.undiff.","Rumex","Sanguisorba","Scrophulariaceae","Thalictrum","Urticaceae","Xanthium","Zea"
580,7186,454,0,1,35,0,11,5,0,0,0,0,0,0,0,119,9,9,0,6,2,2,0,0,0,0,0,0,0,16,0,5,1,4,72,0,74,1,0,0,8,16,53,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,7313,421,0,0,23,1,13,14,1,0,3,0,0,0,0,80,12,16,0,7,1,4,0,0,0,0,0,0,0,37,0,2,0,5,24,0,75,0,0,0,14,34,51,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595,7384,508,0,1,32,3,13,14,0,0,0,0,1,0,0,127,3,17,0,5,1,2,0,0,0,0,0,0,0,41,0,11,2,3,17,1,110,0,0,0,8,23,59,1,2,0,1,3,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,7545,477,1,0,46,3,5,10,1,0,0,0,0,0,0,146,5,12,0,1,1,3,0,0,0,0,0,0,0,35,0,9,0,5,37,0,60,2,0,0,7,39,45,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,7737,568,0,3,41,3,15,15,0,0,0,0,0,0,0,126,5,15,0,14,0,2,0,0,0,0,0,0,1,69,2,8,0,14,28,0,97,1,0,0,13,22,65,0,3,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
625,7969,559,0,2,34,1,17,8,0,1,0,0,1,0,0,134,7,19,0,4,0,4,0,0,0,0,0,0,1,30,0,11,2,6,30,0,66,0,0,0,5,107,58,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
635,8245,561,0,0,44,2,23,3,0,0,0,0,0,0,0,53,13,29,1,9,0,0,1,0,0,0,0,0,0,16,0,24,2,28,9,0,57,0,0,0,13,186,43,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645,8564,415,0,1,12,0,11,3,0,0,0,0,0,0,0,29,1,10,0,3,0,0,1,0,0,0,0,1,0,21,1,29,2,24,2,0,77,1,0,0,5,148,22,0,3,0,0,0,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
655,8928,489,0,0,21,0,20,6,0,0,0,0,0,0,0,10,4,13,1,6,0,2,0,0,0,0,0,0,0,46,3,41,0,57,2,0,171,2,0,0,7,41,21,0,2,0,2,1,0,1,0,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
665,9336,403,0,0,11,2,19,2,0,0,0,0,1,0,0,2,11,30,0,1,0,1,0,0,0,0,0,0,0,18,0,53,6,40,2,0,97,1,0,0,5,72,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
675,9783,557,3,0,18,2,40,4,0,0,0,0,1,0,0,3,9,28,0,0,0,0,2,0,0,0,0,0,0,83,0,80,14,71,2,0,146,0,0,0,0,22,24,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
680,10018,551,1,2,4,1,38,2,0,0,0,0,0,0,0,1,2,20,0,0,0,1,1,0,0,0,0,0,0,37,0,64,53,148,2,2,121,2,0,0,0,12,21,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
