"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae.Taxaceae","Ericaceae","Fagus","Fraxinus","Ilex","Juglans","Liquidambar","Liriodendron","Magnolia","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus","Platanus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Lamiaceae","Malvaceae","Onagraceae","Plantago","Poaceae","Polygonum"
1799,NA,0,0.009868421,0.016447368,0.019736842,0.016447368,0,0,0,0,0,0.003289474,0,0.006578947,0,0,0,0.046052632,0,0,0,0,0,0.013157895,0.25,0,0.5,0,0,0,0,0,0.023026316,0,0,0.013157895,0,0.003289474,0.019736842,0,0,0,0,0.059210526,0
1809,NA,0,0,0.003610108,0.014440433,0.014440433,0,0,0.003610108,0,0,0.028880866,0,0,0,0,0,0,0,0,0.003610108,0.007220217,0.007220217,0.014440433,0.205776173,0,0.584837545,0,0,0.032490975,0,0,0.007220217,0,0,0.003610108,0,0.007220217,0.028880866,0,0.003610108,0,0,0.028880866,0
1819,NA,0,0.003215434,0.01607717,0.019292605,0.01607717,0,0,0,0,0.022508039,0.003215434,0,0,0,0,0,0.006430868,0,0,0,0,0.006430868,0,0.260450161,0,0.466237942,0,0,0.028938907,0.006430868,0,0.01607717,0,0,0.01607717,0,0.006430868,0.028938907,0,0,0,0,0.077170418,0
1829,NA,0,0,0.01744186,0.011627907,0.005813953,0.002906977,0,0,0,0.011627907,0.023255814,0,0,0.002906977,0,0,0,0,0,0.002906977,0.01744186,0,0.00872093,0.23255814,0,0.511627907,0,0,0.069767442,0.002906977,0,0.011627907,0,0,0.00872093,0,0.00872093,0.029069767,0,0,0,0,0.020348837,0
1839,NA,0,0,0.009803922,0.022875817,0.016339869,0,0,0,0,0.006535948,0,0,0,0,0,0,0.009803922,0,0,0,0,0.006535948,0,0.339869281,0,0.418300654,0,0.003267974,0.029411765,0.003267974,0,0.016339869,0,0,0.009803922,0,0.003267974,0.026143791,0,0,0,0.003267974,0.075163399,0
1849,NA,0,0,0.010498688,0.023622047,0.010498688,0,0,0,0,0.010498688,0.023622047,0,0,0.002624672,0,0,0.002624672,0,0,0,0.015748031,0,0.005249344,0.209973753,0,0.551181102,0.002624672,0,0.044619423,0.005249344,0,0.005249344,0,0,0.010498688,0,0.005249344,0.028871391,0,0,0,0,0.031496063,0
1859,NA,0,0.003311258,0.033112583,0.009933775,0.01986755,0.003311258,0,0,0,0.006622517,0.003311258,0,0.016556291,0,0,0,0.003311258,0,0,0,0.003311258,0.006622517,0,0.251655629,0,0.473509934,0,0,0.01986755,0.003311258,0,0.01986755,0,0,0.003311258,0,0.003311258,0.023178808,0,0,0,0,0.092715232,0
1869,NA,0,0.005025126,0.007537688,0.010050251,0.010050251,0,0,0,0,0.015075377,0.005025126,0,0,0,0.005025126,0,0,0,0,0,0.012562814,0,0,0.236180905,0,0.58040201,0,0,0.057788945,0.005025126,0,0.010050251,0,0,0.007537688,0,0,0.015075377,0,0,0,0,0.01758794,0
1879,NA,0,0.003236246,0.029126214,0.012944984,0.01618123,0,0,0,0,0.01618123,0,0,0.009708738,0,0,0,0.009708738,0,0,0,0.003236246,0.006472492,0.006472492,0.203883495,0,0.553398058,0,0,0.019417476,0,0,0.01618123,0,0,0.009708738,0,0.006472492,0.012944984,0,0,0,0,0.064724919,0
1889,NA,0,0.002793296,0.002793296,0.011173184,0.019553073,0,0,0,0,0.005586592,0.027932961,0,0,0.005586592,0,0,0.005586592,0,0,0,0.002793296,0,0.005586592,0.25698324,0,0.536312849,0,0,0.036312849,0.005586592,0,0.008379888,0,0,0.027932961,0,0.005586592,0.011173184,0,0,0.002793296,0,0.019553073,0
1899,NA,0,0,0.009708738,0.019417476,0.019417476,0,0,0,0,0.003236246,0.003236246,0,0,0,0,0.003236246,0,0,0,0,0.003236246,0,0,0.326860841,0,0.459546926,0,0,0.071197411,0,0,0.006472492,0,0,0.009708738,0,0.006472492,0.019417476,0,0,0,0,0.038834951,0
1909,NA,0,0,0.004914005,0.022113022,0.002457002,0,0,0.002457002,0,0.007371007,0.014742015,0,0,0,0,0,0.002457002,0,0,0,0.017199017,0,0.007371007,0.230958231,0,0.540540541,0,0,0.039312039,0.004914005,0,0.022113022,0,0,0.004914005,0,0.002457002,0.022113022,0.002457002,0,0,0,0.049140049,0
1919,NA,0,0,0.013071895,0.009803922,0.013071895,0,0,0,0,0.016339869,0,0,0,0,0,0,0.003267974,0,0,0,0,0.006535948,0,0.346405229,0,0.464052288,0,0,0.022875817,0.009803922,0,0.019607843,0,0,0.013071895,0,0.009803922,0.016339869,0,0,0,0,0.035947712,0
1929,NA,0,0.002816901,0.016901408,0.011267606,0.016901408,0,0,0,0,0.005633803,0.01971831,0,0,0.005633803,0,0,0.005633803,0,0,0,0.008450704,0,0.008450704,0.185915493,0,0.566197183,0.005633803,0,0.045070423,0.008450704,0,0.014084507,0,0.002816901,0.005633803,0,0.008450704,0.025352113,0,0,0,0,0.030985915,0
1939,NA,0,0,0.019480519,0.012987013,0.016233766,0,0,0,0,0.012987013,0,0,0,0,0,0,0.006493506,0,0,0,0,0.003246753,0.003246753,0.282467532,0,0.457792208,0,0.003246753,0.071428571,0.003246753,0,0.022727273,0,0,0.00974026,0,0.003246753,0.025974026,0,0,0,0,0.045454545,0
1949,NA,0,0,0.009433962,0.018867925,0.018867925,0,0.003144654,0,0,0.006289308,0.012578616,0,0,0.003144654,0.003144654,0,0.003144654,0,0,0,0.01572327,0,0.009433962,0.194968553,0,0.525157233,0,0,0.088050314,0.006289308,0.003144654,0.031446541,0,0,0.003144654,0,0.003144654,0.009433962,0,0.003144654,0,0,0.028301887,0
1959,NA,0,0,0.012903226,0.022580645,0.016129032,0,0,0,0,0.006451613,0.003225806,0,0,0,0,0,0,0,0,0.003225806,0,0.006451613,0.006451613,0.258064516,0,0.506451613,0,0,0.04516129,0.003225806,0,0.016129032,0,0,0.009677419,0,0.012903226,0.025806452,0,0,0,0,0.04516129,0
1969,NA,0,0,0.004576659,0.018306636,0.00228833,0,0,0.00228833,0,0.00228833,0.006864989,0,0,0,0.00228833,0,0.004576659,0,0,0,0.00228833,0,0.018306636,0.224256293,0,0.567505721,0,0,0.061784897,0.004576659,0,0.011441648,0,0.00228833,0.020594966,0,0.00228833,0.025171625,0,0,0,0,0.016018307,0
1979,NA,0,0,0.012578616,0.006289308,0.012578616,0,0,0,0,0.003144654,0,0,0,0.003144654,0,0,0.003144654,0,0,0,0.006289308,0.01572327,0.003144654,0.342767296,0,0.452830189,0,0.003144654,0.059748428,0,0,0.003144654,0,0,0.006289308,0,0.003144654,0.022012579,0,0,0,0,0.040880503,0
1989,NA,0,0,0.00619195,0.00619195,0.003095975,0,0,0,0,0.00619195,0.024767802,0.003095975,0,0,0.003095975,0,0,0,0,0,0.021671827,0,0,0.226006192,0,0.588235294,0,0,0.030959752,0.003095975,0,0.009287926,0,0,0.018575851,0,0.018575851,0.009287926,0,0,0,0,0.021671827,0
1999,NA,0,0.006153846,0.003076923,0.021538462,0.006153846,0,0,0,0,0,0.012307692,0,0,0,0.003076923,0,0.003076923,0,0,0,0.012307692,0,0.003076923,0.28,0,0.476923077,0,0,0.067692308,0,0,0.003076923,0,0,0.009230769,0,0.012307692,0.021538462,0,0,0,0,0.058461538,0
2009,NA,0,0.002702703,0,0.013513514,0.005405405,0.002702703,0.002702703,0,0,0.002702703,0.013513514,0,0,0.005405405,0.002702703,0,0.010810811,0,0,0,0.010810811,0.002702703,0,0.235135135,0,0.548648649,0,0.002702703,0.062162162,0,0,0.013513514,0,0,0.010810811,0,0.010810811,0.010810811,0,0,0,0,0.02972973,0
2019,NA,0,0,0.002994012,0.020958084,0.002994012,0,0,0,0,0.005988024,0.017964072,0,0,0.002994012,0,0.005988024,0.011976048,0.002994012,0,0,0.008982036,0,0.008982036,0.200598802,0,0.601796407,0,0,0.056886228,0.005988024,0.002994012,0.002994012,0,0,0.011976048,0,0,0.008982036,0,0,0,0,0.01497006,0
2029,NA,0,0.003215434,0.009646302,0.012861736,0,0,0,0,0,0.003215434,0.01607717,0,0,0.006430868,0.009646302,0,0.006430868,0,0,0,0.006430868,0,0.006430868,0.21221865,0,0.59807074,0.003215434,0,0.038585209,0.003215434,0,0.006430868,0,0,0,0,0.006430868,0.025723473,0,0,0,0,0.025723473,0
2039,NA,0,0,0.012084592,0.012084592,0.012084592,0,0,0,0,0,0.012084592,0,0,0,0,0,0.006042296,0,0,0,0.003021148,0,0.003021148,0.287009063,0,0.546827795,0,0,0.057401813,0.003021148,0,0.012084592,0,0,0.012084592,0,0.006042296,0.009063444,0,0,0,0,0.006042296,0
