"sample.depths","sample.ages","Abies","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Juglans.cinerea","Juglans.nigra","Asteraceae.subf..Cichorioideae","Picea","Quercus","Rumex","Salix","Tsuga","Alnus","Ambrosia","Fraxinus.americana.type","Myrica","Pinus","Populus","Poaceae","Acer.saccharum","Ostrya","Acer.rubrum","Carya","Larix","Platanus","Ulmus","Asteraceae.subf..Asteroideae.undiff.","Fraxinus.nigra","Castanea","Tilia","Taxus","Sarcobatus.vermiculatus","Thalictrum","Corylus","Iva.annua","Celtis","Morus","Iva.xanthifolia","Rosaceae","Symphoricarpos","Shepherdia.canadensis","Plantago","Ephedra.torreyana.type","Ephedra.nevadensis.type","Vitis","Xanthium"
300,6339,0.00333333333333333,0.00666666666666667,0.136666666666667,0,0.1,0.00333333333333333,0.05,0,0,0,0.00666666666666667,0.116666666666667,0,0.00333333333333333,0.02,0.0166666666666667,0.00666666666666667,0.00333333333333333,0.00333333333333333,0.403333333333333,0,0,0.0133333333333333,0.00666666666666667,0,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.0533333333333333,0.00666666666666667,0.0133333333333333,0,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,6518,0.0166666666666667,0.00333333333333333,0.07,0,0.00333333333333333,0.01,0.0266666666666667,0,0.00333333333333333,0,0.03,0.0633333333333333,0,0,0.0766666666666667,0.00333333333333333,0,0,0,0.596666666666667,0,0,0.01,0.00666666666666667,0,0.00666666666666667,0.01,0,0.04,0,0.01,0,0.00333333333333333,0,0.00333333333333333,0,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0
310,6699,0.00666666666666667,0.00666666666666667,0.06,0.00333333333333333,0.113333333333333,0.00666666666666667,0.0466666666666667,0,0.00333333333333333,0,0.0166666666666667,0.0733333333333333,0,0,0.02,0.01,0.00333333333333333,0.00666666666666667,0,0.476666666666667,0,0,0.0133333333333333,0.0133333333333333,0,0.00333333333333333,0.01,0.00333333333333333,0.06,0.01,0.0266666666666667,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0.00333333333333333,0,0,0
320,7070,0.01,0.00666666666666667,0.0866666666666667,0,0.0633333333333333,0.00666666666666667,0.0433333333333333,0.00333333333333333,0,0,0.01,0.09,0,0,0.0233333333333333,0.0133333333333333,0.00666666666666667,0.01,0,0.456666666666667,0,0.00666666666666667,0,0.0266666666666667,0,0.01,0.0233333333333333,0.00333333333333333,0.0566666666666667,0.00333333333333333,0.0166666666666667,0,0.0233333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,7260,0.0233333333333333,0.0133333333333333,0.0366666666666667,0.01,0.05,0.00333333333333333,0.0133333333333333,0.00333333333333333,0.00333333333333333,0,0.02,0.0933333333333333,0,0,0.0133333333333333,0.0133333333333333,0.01,0,0,0.573333333333333,0,0,0.01,0.0233333333333333,0,0.00666666666666667,0.0233333333333333,0,0.04,0.01,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,7452,0.0166666666666667,0,0.0166666666666667,0.00333333333333333,0.183333333333333,0.00666666666666667,0.02,0,0,0,0.00666666666666667,0.0833333333333333,0,0.00333333333333333,0.02,0.01,0.00666666666666667,0.00666666666666667,0,0.51,0,0.00333333333333333,0.0166666666666667,0.0266666666666667,0,0,0.0133333333333333,0.01,0.03,0,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,7647,0.00333333333333333,0,0.0366666666666667,0,0.01,0.01,0.01,0,0,0,0.0133333333333333,0.07,0,0,0.0133333333333333,0.00333333333333333,0.01,0.00333333333333333,0,0.7,0,0.01,0.0133333333333333,0,0,0.0133333333333333,0.01,0.01,0.05,0,0.00333333333333333,0,0.00333333333333333,0,0,0,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0
340,7845,0.01,0.0133333333333333,0.0766666666666667,0.00666666666666667,0.0766666666666667,0.00666666666666667,0.02,0.00333333333333333,0,0,0.01,0.106666666666667,0,0,0.01,0.01,0.01,0.00666666666666667,0,0.49,0.00333333333333333,0,0.0133333333333333,0.03,0,0.00333333333333333,0.00666666666666667,0.00666666666666667,0.04,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,8249,0.00666666666666667,0.00333333333333333,0.0433333333333333,0.01,0.0633333333333333,0,0.00666666666666667,0,0.00333333333333333,0,0.00666666666666667,0.113333333333333,0,0.00333333333333333,0.00666666666666667,0.00333333333333333,0.01,0.01,0.00666666666666667,0.55,0,0.00666666666666667,0.01,0.04,0,0,0.0133333333333333,0.01,0.05,0.00333333333333333,0.01,0,0,0,0,0,0,0.00333333333333333,0.00333333333333333,0,0,0,0,0.00333333333333333,0,0,0,0,0
355,8456,0.0133333333333333,0.00666666666666667,0.05,0,0.0466666666666667,0,0.00333333333333333,0.00333333333333333,0,0,0.0133333333333333,0.0666666666666667,0,0,0.0166666666666667,0.00333333333333333,0.0133333333333333,0,0,0.666666666666667,0,0.00333333333333333,0.00333333333333333,0.0166666666666667,0,0.01,0.01,0,0.0333333333333333,0,0.0166666666666667,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
360,8665,0.00666666666666667,0.01,0.0666666666666667,0.01,0.0433333333333333,0,0,0,0.00333333333333333,0,0.00666666666666667,0.1,0,0,0.00666666666666667,0,0.0166666666666667,0.01,0.00333333333333333,0.58,0,0.0133333333333333,0.00666666666666667,0.02,0,0.01,0,0.00666666666666667,0.0433333333333333,0.00333333333333333,0.03,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,8877,0.04,0.0166666666666667,0.07,0.01,0.0866666666666667,0.00666666666666667,0.0166666666666667,0,0,0,0.01,0.0633333333333333,0,0.00666666666666667,0.0133333333333333,0.00666666666666667,0.0166666666666667,0,0,0.543333333333333,0,0,0.00666666666666667,0.0233333333333333,0,0.01,0.0266666666666667,0,0.0233333333333333,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,9091,0.00333333333333333,0.00333333333333333,0.09,0,0.09,0.00333333333333333,0.00333333333333333,0,0,0,0.01,0.09,0,0.00666666666666667,0.00666666666666667,0.00333333333333333,0.0133333333333333,0.00666666666666667,0,0.51,0,0.00666666666666667,0.02,0.0566666666666667,0,0.00333333333333333,0.0166666666666667,0,0.04,0.00666666666666667,0.00666666666666667,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,9309,0.0333333333333333,0.01,0.0933333333333333,0.00333333333333333,0.08,0.00333333333333333,0.01,0,0,0,0.00666666666666667,0.0566666666666667,0,0,0.00333333333333333,0.01,0.00333333333333333,0.01,0,0.596666666666667,0,0,0.00333333333333333,0.03,0,0.00333333333333333,0.01,0,0.0266666666666667,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0
380,9529,0.0166666666666667,0.01,0.08,0,0.0433333333333333,0,0.00333333333333333,0,0,0,0.00333333333333333,0.0866666666666667,0,0.00333333333333333,0.00333333333333333,0.01,0.00666666666666667,0.00333333333333333,0,0.59,0.00333333333333333,0.00666666666666667,0.0133333333333333,0.0433333333333333,0,0,0.00333333333333333,0,0.04,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,9750,0.02,0.01,0.07,0.00333333333333333,0.01,0.00666666666666667,0,0.00333333333333333,0,0,0.0333333333333333,0.0733333333333333,0,0,0,0.01,0.00666666666666667,0.0166666666666667,0,0.653333333333333,0.00333333333333333,0.00333333333333333,0.01,0.0366666666666667,0,0,0.01,0,0.0166666666666667,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,9967,0.0233333333333333,0.00666666666666667,0.07,0.00333333333333333,0.01,0,0,0,0,0,0.02,0.12,0,0.00333333333333333,0,0.01,0.00333333333333333,0.01,0.00666666666666667,0.583333333333333,0,0.0133333333333333,0.0133333333333333,0.03,0,0.00333333333333333,0.00666666666666667,0.00666666666666667,0.03,0.00333333333333333,0.02,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
