"sample.depths","sample.ages","upland.sum","Acer","Alnus","Betula","Carya","Castanea","Celtis","Cornus","Corylus","Cupressaceae.Taxaceae","Ephedra","Ericaceae","Fagus","Fraxinus","Ilex","Juglans","Liquidambar","Liriodendron","Magnolia","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus","Platanus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Euphorbiaceae","Fabaceae","Iva","Lamiaceae","Malvaceae","Plantago","Poaceae","Polygonum"
1269,6923,356,0,0,4,67,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,5,1,3,71,0,179,0,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0
1279,6939,341,1,1,4,40,0,0,0,1,0,0,1,6,1,0,0,7,0,0,0,0,0,2,73,0,180,0,1,10,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,6,0
1289,6954,330,0,2,6,20,0,0,0,0,2,0,0,0,2,0,0,10,0,0,2,5,0,1,45,0,210,0,0,11,1,0,1,1,0,0,0,3,4,0,0,0,0,0,0,4,0
1299,6969,343,1,0,2,50,0,0,0,0,2,0,2,0,2,0,0,8,0,0,0,5,0,3,68,0,185,0,0,8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0
1309,6984,347,0,1,3,50,1,0,0,0,0,0,0,0,0,1,0,16,0,0,1,7,0,1,63,0,185,0,0,5,1,0,1,0,2,0,0,2,3,0,0,0,0,0,0,4,0
1319,6999,322,0,2,3,44,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,3,0,3,83,0,152,0,1,12,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
1329,7014,328,0,0,3,60,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,3,64,0,166,0,0,13,1,0,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0
1339,7029,358,0,2,1,65,0,0,0,1,4,0,0,16,0,0,1,6,2,0,0,0,0,1,64,0,163,0,2,16,1,0,0,0,0,2,0,1,2,0,0,0,0,0,0,8,0
1349,7044,405,0,0,1,53,0,0,0,0,0,0,0,3,0,0,0,10,0,1,0,8,0,4,107,0,193,0,0,15,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,4,0
1359,7060,334,1,0,7,23,0,0,0,0,1,0,0,0,3,0,0,6,0,0,1,6,0,2,50,0,215,0,1,5,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,5,0
1369,7075,320,0,1,5,39,1,0,0,0,2,0,0,1,0,1,1,10,0,0,0,0,0,2,69,0,164,0,0,11,5,0,1,1,1,0,0,0,1,0,0,0,0,1,0,3,0
1379,7090,318,0,1,3,32,0,0,0,1,2,0,0,13,0,0,0,5,0,0,0,0,0,4,49,0,178,0,0,7,2,0,0,0,2,0,0,2,6,0,0,0,0,0,0,11,0
1389,7105,458,0,0,0,62,0,0,0,0,1,0,0,0,0,1,0,12,0,0,0,4,0,8,77,0,190,0,0,82,4,0,2,0,3,0,0,3,3,0,0,0,0,0,0,6,0
