"sample.depths","sample.ages","upland.sum","Abies","Acer.undiff.","Acer.rubrum","Acer.saccharum","Alnus.incana","Alnus.viridis.subsp..crispa","Betula.undiff.","Betula..small.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Other.herbs","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Secale","Thalictrum","Urtica","Zea"
124,897,522,0,0,9,6,2,0,50,0,6,21,3,0,6,6,0,0,1,8,12,4,4,0,0,0,0,0,2,0,19,6,1,0,0,0,5,1,36,1,0,286,1,0,0,0,0,14,5,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
128,968,626,0,0,4,8,4,0,54,0,2,14,2,0,4,5,0,3,3,11,18,4,6,0,0,2,0,0,0,0,32,5,5,0,0,5,7,4,47,0,0,339,1,0,0,0,0,21,6,0,1,0,1,1,1,0,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0
132,1039,512,0,0,2,2,5,0,51,0,3,22,1,0,4,3,0,0,0,13,22,1,1,2,0,1,0,0,0,0,21,0,2,0,0,2,1,3,54,1,0,279,0,0,0,0,0,10,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
136,1111,540,0,1,6,12,2,0,40,0,1,24,3,0,6,7,0,0,3,9,12,4,0,1,0,0,0,0,1,0,19,4,2,0,0,5,9,8,44,0,1,292,0,1,0,0,0,14,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
140,1183,522,0,0,5,4,2,0,44,0,5,18,3,0,5,6,0,0,5,8,22,0,3,3,1,0,0,0,0,0,13,0,3,0,0,2,11,7,44,0,0,290,0,0,0,0,0,9,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
144,1255,609,0,0,11,11,8,0,39,0,2,14,2,0,5,6,0,1,0,6,22,1,2,0,0,0,0,0,0,0,34,5,1,0,0,2,8,4,58,0,0,331,1,0,0,0,0,22,3,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
152,1399,524,0,0,3,9,3,0,39,0,4,25,0,0,7,10,0,0,0,2,25,0,1,1,0,0,1,0,0,0,36,2,4,0,0,0,3,3,42,0,0,278,1,0,0,0,0,15,5,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,1472,543,0,0,3,4,4,0,47,0,4,20,3,0,8,15,0,0,0,3,19,2,3,1,0,0,0,0,0,0,23,3,4,0,0,1,5,7,34,3,0,303,0,0,0,0,0,13,1,0,2,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
160,1544,530,0,0,0,4,1,0,50,0,8,14,0,0,9,11,0,0,0,10,15,3,0,2,0,0,1,0,0,0,28,4,2,0,0,2,9,6,30,2,0,284,0,0,0,0,1,18,4,0,1,0,0,1,0,0,0,3,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
164,1616,561,0,0,0,6,6,0,55,0,5,16,1,0,15,13,0,1,0,7,32,3,2,0,0,0,0,0,0,0,30,1,2,0,0,0,6,2,40,1,0,300,0,0,0,0,0,9,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
168,1688,533,0,0,1,3,8,0,50,0,6,11,3,0,7,11,0,0,1,7,22,2,1,0,3,1,0,0,0,0,30,6,1,0,0,1,6,1,48,3,0,266,0,0,0,0,1,18,5,0,1,0,2,1,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
172,1733,549,0,0,0,4,4,0,29,0,0,22,1,0,10,17,0,0,0,5,22,0,2,0,1,0,1,0,1,0,40,6,3,0,0,1,17,1,32,1,0,303,0,0,0,0,0,10,2,0,1,0,1,4,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
