"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Bidens.type","Cyperaceae","Pinus.undiff.","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Liliaceae","Juglans","Populus","Amaranthaceae","Poaceae","Stachys.type","Pinus.banksiana.type","Eupatorium.type","Iva.type","Polygonum.cf..P..scandens","Apiaceae","Chamaecrista.type","Juniperus.type","Brassica","Opuntia","Ranunculus","Lactuca.type","Celtis","Ephedra","Rosaceae","Cornus.cf..C..sericea","Eriogonum","Dalea","Vitis","Centaurea.type","Helianthus.type","Picea","Salix","Mentha.type","Acer.negundo.type","Solanaceae.type","Xanthium.type","Polygonum.cf..P..lapathifolium","Alnus","Betula","Carya","Corylus","Carpinus.type","Rumex","Shepherdia","Plantago","Fraxinus.cf..F..nigra","Elaeagnus","Onagraceae","Rhamnus","Sambucus.type","Morus.type","Amorpha","Limonium.cf..L..limbatum","cf..Nemopanthus","Calystegia","Thalictrum","Caryophyllaceae","Urtica","Larix","Abies"
1071,31711,366,27,131,2,34,13,5,4,0,0,0,9,17,67,2,13,5,6,3,1,0,6,0,0,0,0,0,0,0,0,1,0,0,3,0,3,1,1,2,0,0,1,1,4,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1086,31760,400,28,129,0,47,19,10,12,0,1,0,9,20,69,3,15,6,1,4,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,3,4,1,2,0,0,0,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1101,31810,479,32,142,1,51,21,12,12,1,0,0,12,14,110,3,20,5,1,3,2,0,5,2,0,0,0,0,0,0,0,0,0,0,3,7,6,2,0,3,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1132,31912,338,22,77,0,39,19,16,7,0,1,0,9,18,64,2,18,4,2,4,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,4,4,1,5,0,0,2,1,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,31985,446,35,138,0,37,32,14,4,0,0,0,14,21,85,2,18,6,3,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,3,7,5,1,3,0,0,0,1,7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,32051,389,32,98,1,36,23,11,10,0,0,0,12,13,81,3,18,7,1,3,3,0,4,1,0,0,2,0,0,0,0,0,0,1,0,1,6,1,1,5,0,0,0,1,9,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1194,32116,367,32,86,3,42,15,15,3,1,0,0,15,16,82,1,8,8,5,0,0,0,6,0,0,1,0,0,0,0,0,1,1,0,0,1,2,2,0,2,0,0,1,4,6,0,0,2,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
1204,32155,356,45,102,0,28,14,13,7,0,0,0,11,15,67,1,11,3,3,5,2,3,5,0,0,0,1,0,0,0,0,0,0,0,0,1,3,3,1,3,0,0,0,2,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1216,32200,332,34,68,1,31,34,6,9,0,0,0,8,14,54,1,7,14,2,4,3,0,3,1,0,0,1,0,1,0,0,2,0,0,2,1,19,1,0,1,0,0,0,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1225,32235,394,78,119,0,24,20,8,5,0,0,0,3,26,65,0,7,13,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,7,3,0,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1245,32311,346,51,57,0,24,41,12,9,0,0,0,9,17,59,0,23,9,4,3,1,1,5,0,0,0,0,0,0,0,0,0,1,0,1,1,9,1,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1264,32383,347,68,93,3,17,15,11,5,0,0,0,8,20,55,1,15,6,1,2,1,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,7,2,0,4,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1284,32460,348,79,84,0,12,26,10,7,0,0,0,5,22,40,1,20,9,4,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
1294,32498,369,78,76,0,22,21,18,4,0,1,0,10,22,46,2,20,9,4,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,14,3,2,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,32536,375,66,101,2,13,31,17,6,0,0,0,8,16,50,0,32,3,2,3,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,11,2,1,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
