"sample.depths","sample.ages","Abies","Acer","Alnus","Anacardiaceae","Betula","Carya","Celtis","Cephalanthus","Corylus","Ericaceae","Fagus","Fraxinus","Ilex","Itea","Juglans","Liquidambar","Morus","Myrica","Nyssa","Ostrya.Carpinus","Pinus..1.2.grains.","Pinus..whole.grains.","Planera.aquatica","Platanus","Quercus","Rubus.type","Salix","Taxodium","Tilia","Ulmus","Vitis","Alternanthera","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Galium","Iva","Lythrum","Malvaceae","Onagraceae","Poaceae","Polygonum","Vigna"
324,NA,0,0,0.00392156862745098,0,0,0.0196078431372549,0,0,0,0,0,0.0509803921568627,0.00392156862745098,0,0,0.00392156862745098,0,0.0156862745098039,0,0.00392156862745098,0.00784313725490196,0.0156862745098039,0.00392156862745098,0,0.168627450980392,0,0.00784313725490196,0.117647058823529,0,0,0.00784313725490196,0,0.00392156862745098,0,0,0.101960784313725,0.164705882352941,0.145098039215686,0.00392156862745098,0.0235294117647059,0,0,0,0.125490196078431,0,0
340,NA,0,0,0,0,0,0.0575916230366492,0,0,0,0,0,0.0209424083769634,0,0.00523560209424084,0,0.0209424083769634,0,0.0209424083769634,0,0.0104712041884817,0.0104712041884817,0.0157068062827225,0,0,0.109947643979058,0,0,0.130890052356021,0.00523560209424084,0.00523560209424084,0.031413612565445,0,0.00523560209424084,0.0104712041884817,0,0.141361256544503,0.130890052356021,0.0418848167539267,0,0.031413612565445,0.00523560209424084,0,0,0.18848167539267,0,0
350,NA,0,0,0,0,0.0151515151515152,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303030303030303,0.0151515151515152,0,0,0.121212121212121,0,0.0151515151515152,0.0757575757575758,0,0,0,0,0.0151515151515152,0.0151515151515152,0,0.090909090909091,0.106060606060606,0.0606060606060606,0,0.166666666666667,0,0,0,0.242424242424242,0,0
363,NA,0,0,0,0,0,0.037037037037037,0.0185185185185185,0,0,0,0,0.0185185185185185,0.0185185185185185,0,0,0,0,0.0185185185185185,0,0,0.0185185185185185,0.0185185185185185,0,0,0.166666666666667,0,0.0185185185185185,0.148148148148148,0,0,0.037037037037037,0,0,0,0,0.111111111111111,0.148148148148148,0.12962962962963,0,0.0185185185185185,0,0,0,0.0740740740740741,0,0
372,NA,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0.142857142857143,0,0,0,0.142857142857143,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0.285714285714286,0,0
420,NA,0,0,0.0181818181818182,0,0,0.0363636363636364,0,0,0.0363636363636364,0,0,0.0181818181818182,0,0,0,0.0181818181818182,0,0,0,0.0181818181818182,0.0363636363636364,0.0181818181818182,0,0,0.0727272727272727,0,0,0.0727272727272727,0.0181818181818182,0,0.0181818181818182,0,0,0,0,0.2,0.0727272727272727,0.090909090909091,0,0.127272727272727,0,0,0,0.127272727272727,0,0
429,NA,0,0,0.0256410256410256,0,0,0,0,0,0,0,0,0.0769230769230769,0,0,0,0,0,0.0256410256410256,0,0,0.0512820512820513,0,0,0,0.0512820512820513,0,0,0.256410256410256,0,0,0,0,0.0512820512820513,0,0,0.0769230769230769,0.153846153846154,0.0769230769230769,0,0.0256410256410256,0,0,0,0.128205128205128,0,0
442,NA,0,0,0,0,0.0588235294117647,0.117647058823529,0,0,0,0,0,0,0,0,0,0.0588235294117647,0,0,0,0.0588235294117647,0,0.0588235294117647,0,0,0,0,0,0.235294117647059,0,0,0,0,0,0,0,0.0588235294117647,0.117647058823529,0,0,0.117647058823529,0,0,0,0.117647058823529,0,0
448,NA,0,0,0,0,0,0,0,0,0.0188679245283019,0,0,0,0,0,0,0,0,0.0188679245283019,0,0,0,0.0566037735849057,0,0,0.245283018867925,0,0.0188679245283019,0.150943396226415,0,0.0188679245283019,0.0377358490566038,0,0,0,0,0.0754716981132075,0.188679245283019,0.0754716981132075,0,0.0188679245283019,0,0,0,0.0754716981132075,0,0
458,NA,0,0,0,0,0,0.0232558139534884,0,0,0,0,0,0.0232558139534884,0,0,0,0.0697674418604651,0,0,0,0.0232558139534884,0,0.0232558139534884,0,0,0.186046511627907,0,0,0.209302325581395,0,0,0.0697674418604651,0,0,0,0,0.0697674418604651,0.186046511627907,0,0,0,0,0,0,0.116279069767442,0,0
468,NA,0,0,0,0,0.0204081632653061,0,0,0,0,0.0204081632653061,0,0.0204081632653061,0,0,0,0,0,0.0204081632653061,0.0204081632653061,0.0408163265306122,0,0,0,0,0.102040816326531,0,0,0.163265306122449,0,0.0408163265306122,0.0204081632653061,0,0,0,0,0.122448979591837,0.102040816326531,0.0816326530612245,0,0.0408163265306122,0,0,0,0.183673469387755,0,0
