"sample.depths","sample.ages","Abies","Betula","Cyperaceae","Galium","Asteraceae.subf..Cichorioideae","Picea","Ranunculaceae.undiff.","Rumex","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Alnus","Myrica","Pinus","Populus","Poaceae","Solanaceae","Ericales","Juniperus","cf..Myrica","Caryophyllaceae","Ulmus","Brassicaceae","Rosaceae","Nemopanthus","Taxus","Quercus","Salix","Viburnum","Carya","Castanea","Cornus","Corylus","Artemisia","Fagus","Ostrya","Ambrosia","Acer","Tofieldia"
230,6706,0.0191693290734824,0.738019169329074,0.00319488817891374,0,0,0.12779552715655,0,0,0,0,0.00958466453674121,0.0319488817891374,0.0415335463258786,0,0.00319488817891374,0,0,0,0.0223642172523962,0,0,0,0.00319488817891374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,7145,0.0527522935779817,0.66743119266055,0.00229357798165138,0,0,0.190366972477064,0.00229357798165138,0,0,0,0.00688073394495413,0.0275229357798165,0.00688073394495413,0,0.00458715596330275,0,0.00458715596330275,0.00229357798165138,0.0137614678899083,0,0,0,0,0,0.00688073394495413,0,0.00229357798165138,0,0,0,0,0,0.00229357798165138,0,0,0.00229357798165138,0.00458715596330275,0
250,7583,0.0420792079207921,0.643564356435644,0,0,0,0.237623762376238,0,0,0,0,0.0099009900990099,0.0297029702970297,0.0148514851485149,0,0,0,0,0,0.0173267326732673,0,0.00247524752475248,0,0,0,0,0.00247524752475248,0,0,0,0,0,0,0,0,0,0,0,0
260,8022,0.0445682451253482,0.543175487465181,0.0278551532033426,0,0,0.292479108635098,0.00557103064066852,0,0,0,0.0250696378830084,0.0306406685236769,0,0.00278551532033426,0,0,0.00278551532033426,0.00557103064066852,0.00278551532033426,0,0,0,0.00557103064066852,0,0.00278551532033426,0,0,0,0,0,0,0.00278551532033426,0,0,0,0,0,0.00557103064066852
270,8461,0.0563725490196078,0.605392156862745,0.00245098039215686,0,0,0.139705882352941,0,0,0,0.00735294117647059,0.0318627450980392,0.0808823529411765,0.0269607843137255,0,0,0,0,0.00980392156862745,0.0343137254901961,0,0.00245098039215686,0,0,0,0,0.00245098039215686,0,0,0,0,0,0,0,0,0,0,0,0
280,8900,0.0707803992740472,0.537205081669691,0.00907441016333938,0,0,0.132486388384755,0.00181488203266788,0,0.00907441016333938,0.00181488203266788,0.0326678765880218,0.088929219600726,0.029038112522686,0.00362976406533575,0.00362976406533575,0,0.0163339382940109,0.0272232304900181,0.0272232304900181,0.00181488203266788,0.00362976406533575,0,0.00362976406533575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,9339,0.0102040816326531,0.637755102040816,0.00255102040816327,0,0,0.196428571428571,0,0,0.00510204081632653,0.0076530612244898,0.0127551020408163,0.0408163265306122,0.0255102040816327,0,0.00510204081632653,0,0.00255102040816327,0.0102040816326531,0.0306122448979592,0,0,0,0,0,0,0.0076530612244898,0.00255102040816327,0,0,0,0,0,0,0,0,0,0.00255102040816327,0
295,9558,0.00890207715133531,0.42433234421365,0.00593471810089021,0,0,0.335311572700297,0,0,0.00890207715133531,0.0118694362017804,0.0118694362017804,0.103857566765579,0.0178041543026706,0,0,0,0.00593471810089021,0.0207715133531157,0.0385756676557863,0,0,0,0,0,0,0.0029673590504451,0.0029673590504451,0,0,0,0,0,0,0,0,0,0,0
297.5,NA,0.0113895216400911,0.451025056947608,0.00455580865603645,0,0,0.0956719817767654,0,0,0.0113895216400911,0.00683371298405467,0.00911161731207289,0.28246013667426,0.0159453302961276,0,0.00911161731207289,0,0.0182232346241458,0.0592255125284738,0.0227790432801822,0,0,0,0.00227790432801822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,NA,0.00313479623824451,0.463949843260188,0.0219435736677116,0,0,0.0156739811912226,0,0,0.00626959247648903,0.0188087774294671,0.0156739811912226,0.269592476489028,0.0626959247648903,0,0.0219435736677116,0,0.0219435736677116,0,0.0689655172413793,0,0.00313479623824451,0,0,0,0,0,0.00626959247648903,0,0,0,0,0,0,0,0,0,0,0
302,NA,0,0.06,0.24,0,0.01,0.33,0,0,0,0.01,0,0.02,0.2,0,0.06,0,0.01,0,0.01,0.01,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0
304.5,NA,0,0.0491803278688525,0.155737704918033,0,0.00819672131147541,0.221311475409836,0,0.00819672131147541,0,0.0245901639344262,0,0.0163934426229508,0.213114754098361,0,0.0245901639344262,0,0.0737704918032787,0,0.0245901639344262,0,0,0.0163934426229508,0.0163934426229508,0.00819672131147541,0,0,0.114754098360656,0,0,0,0,0,0.0245901639344262,0,0,0,0,0
308,NA,0,0.37,0.08,0,0,0.11,0,0,0,0.01,0,0.12,0.04,0,0.14,0,0.05,0,0.01,0,0,0,0.02,0,0,0,0.01,0,0,0,0,0,0.04,0,0,0,0,0
