"sample.depths","sample.ages","Ambrosia.type","Carya","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Ilex","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Liliaceae","Fabaceae","Myrica","Pinus","Poaceae","Urtica","Boehmeria","Celtis","Salix","Fraxinus","Asteraceae.subf..Cichorioideae","Apiaceae","Brassicaceae","Polygonum","Phacelia","Plantago","Malvaceae","Artemisia","Liquidambar","Mimosaceae","Juglans","Xyris","Cephalanthus","Primula","Betula","Ericaceae","Corylus","Rhus","Amaranthaceae","Viburnum","Nyssa","Ostrya.Carpinus","Tilia","Campanulaceae","Cornus","Acer","Impatiens","Lamiaceae","Convolvulaceae","Castanea","Galium","Planera.aquatica","Rhamnus","Ranunculaceae","Picea","Onagraceae"
350,18126,0.0278551532033426,0,0,0,0.064066852367688,0,0.0250696378830084,0.011142061281337,0,0.738161559888579,0,0,0,0,0.0362116991643454,0,0.0194986072423398,0,0,0,0,0,0,0.00278551532033426,0,0,0,0.00835654596100279,0,0,0,0,0,0,0.0334261838440111,0,0.011142061281337,0.0167130919220056,0,0,0,0.00278551532033426,0,0,0,0,0,0,0,0.00278551532033426,0,0,0,0,0,0
360,18350,0.0657894736842105,0.0105263157894737,0.00526315789473684,0,0.410526315789474,0,0.0868421052631579,0.0578947368421053,0,0.2,0.00526315789473684,0,0,0.00526315789473684,0.0868421052631579,0,0.00263157894736842,0.00263157894736842,0,0,0,0.00263157894736842,0,0,0,0,0,0.0157894736842105,0,0,0,0,0,0,0.0157894736842105,0,0.0210526315789474,0,0,0,0,0,0,0,0,0,0,0.00263157894736842,0,0,0,0.00263157894736842,0,0,0,0
370,18574,0.0833333333333333,0.00595238095238095,0.00297619047619048,0,0.306547619047619,0,0.116071428571429,0.0833333333333333,0,0.0595238095238095,0,0,0,0.00297619047619048,0.226190476190476,0,0,0.00297619047619048,0.00892857142857143,0,0,0.0148809523809524,0,0.00297619047619048,0.00297619047619048,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0.0327380952380952,0.00595238095238095,0,0.00892857142857143,0,0,0,0,0,0,0.00297619047619048,0,0,0.00595238095238095,0,0,0.00297619047619048,0,0,0
380,18798,0.0862068965517241,0.0028735632183908,0.0172413793103448,0,0.376436781609195,0,0.0517241379310345,0.0603448275862069,0,0.0402298850574713,0,0,0,0.00862068965517241,0.281609195402299,0,0.0172413793103448,0,0.0028735632183908,0,0,0.0028735632183908,0,0.00862068965517241,0.0028735632183908,0,0,0,0,0,0,0,0,0.0028735632183908,0.0028735632183908,0,0.014367816091954,0.00862068965517241,0,0,0,0,0,0,0,0,0.0028735632183908,0,0,0.00574712643678161,0,0,0,0.0028735632183908,0,0
390,19023,0.0771428571428571,0.00857142857142857,0.00285714285714286,0,0.365714285714286,0,0.122857142857143,0.102857142857143,0,0.0628571428571429,0,0,0,0.00285714285714286,0.157142857142857,0,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00857142857142857,0,0.00285714285714286,0,0,0,0.0142857142857143,0,0,0,0,0,0,0,0,0.02,0.00571428571428571,0,0.00571428571428571,0,0,0,0,0.00571428571428571,0,0,0,0,0.0142857142857143,0,0,0.00285714285714286,0.00285714285714286,0,0
400,19247,0.105405405405405,0.00810810810810811,0,0,0.248648648648649,0,0.0621621621621622,0.0810810810810811,0,0.124324324324324,0,0.00540540540540541,0,0.00540540540540541,0.17027027027027,0,0.0135135135135135,0.00540540540540541,0.00810810810810811,0,0.0027027027027027,0.00540540540540541,0,0,0.0027027027027027,0,0,0.0216216216216216,0,0,0,0,0,0,0.00810810810810811,0.0027027027027027,0.0297297297297297,0.0108108108108108,0,0.00810810810810811,0,0,0.0027027027027027,0,0,0.0027027027027027,0.00540540540540541,0.0027027027027027,0,0.0297297297297297,0,0,0.0216216216216216,0,0.00540540540540541,0
410,19471,0.112941176470588,0.0305882352941176,0.00235294117647059,0,0.218823529411765,0,0.105882352941176,0.112941176470588,0,0.0776470588235294,0.00235294117647059,0.00235294117647059,0,0.0164705882352941,0.162352941176471,0,0.00235294117647059,0.00941176470588235,0.00235294117647059,0,0,0.00941176470588235,0,0.00235294117647059,0.00235294117647059,0,0,0.0188235294117647,0,0,0.00235294117647059,0,0.00470588235294118,0,0.00470588235294118,0.00235294117647059,0.0376470588235294,0.0211764705882353,0,0.00235294117647059,0,0,0.00235294117647059,0,0,0,0,0,0,0,0,0,0.0117647058823529,0,0.0164705882352941,0.00235294117647059
413,19539,0.088957055214724,0.00920245398773006,0.00306748466257669,0,0.245398773006135,0.00306748466257669,0.119631901840491,0.138036809815951,0,0.0368098159509202,0.00306748466257669,0.00613496932515337,0,0.0245398773006135,0.223926380368098,0,0,0,0.00306748466257669,0,0,0,0,0.00613496932515337,0,0,0,0,0.00306748466257669,0,0,0,0,0,0.00613496932515337,0,0.0245398773006135,0,0,0,0.00920245398773006,0.0122699386503067,0,0,0,0,0,0,0,0.0122699386503067,0,0,0.00920245398773006,0,0.00613496932515337,0.00613496932515337
420,19696,0.0438871473354232,0,0.00313479623824451,0,0.332288401253919,0,0.100313479623824,0.09717868338558,0,0.0721003134796238,0,0,0,0.00313479623824451,0.241379310344828,0,0.00626959247648903,0,0,0,0,0,0,0,0,0,0,0.0125391849529781,0,0,0,0,0,0,0,0.00313479623824451,0.0282131661442006,0.00940438871473354,0,0.00940438871473354,0,0,0.00313479623824451,0,0.00313479623824451,0.00313479623824451,0,0,0,0.00313479623824451,0,0,0.0156739811912226,0,0.00626959247648903,0.00313479623824451
430,19920,0.0599078341013825,0.00921658986175115,0.00460829493087558,0,0.283410138248848,0,0.0898617511520737,0.0898617511520737,0,0.0668202764976959,0.00460829493087558,0,0,0.00230414746543779,0.228110599078341,0,0.032258064516129,0.00230414746543779,0,0,0,0.00691244239631336,0,0.00691244239631336,0,0,0,0.0138248847926267,0,0,0.00230414746543779,0,0,0,0.00460829493087558,0,0.0299539170506912,0.0161290322580645,0.00230414746543779,0.00691244239631336,0,0,0.00230414746543779,0,0,0.00460829493087558,0.00230414746543779,0.00230414746543779,0,0.00230414746543779,0.00230414746543779,0,0.0161290322580645,0,0.00460829493087558,0
440,20144,0.0647887323943662,0.0140845070422535,0.0028169014084507,0,0.338028169014085,0,0.095774647887324,0.0901408450704225,0.0028169014084507,0.0563380281690141,0,0,0,0.0028169014084507,0.166197183098592,0,0.0112676056338028,0,0.00845070422535211,0,0,0.0028169014084507,0,0,0,0,0,0.0112676056338028,0,0,0,0,0,0,0.00845070422535211,0,0.0535211267605634,0.0225352112676056,0,0.0028169014084507,0,0,0,0,0,0,0,0.0028169014084507,0,0.0140845070422535,0,0,0.0169014084507042,0,0.0112676056338028,0
450,20368,0.0857142857142857,0.0228571428571429,0,0,0.257142857142857,0,0.0971428571428571,0.188571428571429,0.00285714285714286,0.0485714285714286,0,0,0,0.0114285714285714,0.197142857142857,0,0,0,0,0,0,0.00571428571428571,0,0.00285714285714286,0,0,0,0.00571428571428571,0,0,0.00285714285714286,0,0,0,0,0.00571428571428571,0.02,0.00285714285714286,0,0,0,0,0.00285714285714286,0,0,0.00285714285714286,0,0.00285714285714286,0,0,0,0,0.0142857142857143,0,0.0171428571428571,0.00285714285714286
456,20503,0.0920245398773006,0.00613496932515337,0.00306748466257669,0,0.282208588957055,0,0.0797546012269939,0.0766871165644172,0,0.049079754601227,0,0,0,0.00920245398773006,0.285276073619632,0,0.00613496932515337,0,0,0,0,0.00920245398773006,0,0,0,0,0,0.00920245398773006,0,0,0.00306748466257669,0,0,0,0.00613496932515337,0,0.0398773006134969,0.00920245398773006,0,0,0.00306748466257669,0,0,0,0,0,0.00306748466257669,0,0,0.00306748466257669,0,0,0.0153374233128834,0,0.00920245398773006,0
460,20593,0.105571847507331,0.0146627565982405,0,0,0.24633431085044,0,0.0498533724340176,0.12316715542522,0,0.0205278592375367,0,0,0,0.00293255131964809,0.334310850439883,0,0,0.00293255131964809,0.00293255131964809,0,0,0.0117302052785924,0.00293255131964809,0,0,0,0,0.00293255131964809,0,0,0,0,0,0,0.0117302052785924,0,0.0205278592375367,0.00293255131964809,0,0,0,0,0.0117302052785924,0,0,0,0,0,0,0.00293255131964809,0,0,0.0205278592375367,0,0.00879765395894428,0
466,NA,0.060790273556231,0.0060790273556231,0,0,0.270516717325228,0,0.088145896656535,0.109422492401216,0,0.0638297872340425,0,0,0,0.00303951367781155,0.282674772036474,0,0.00911854103343465,0.00303951367781155,0,0,0,0.00303951367781155,0,0.00303951367781155,0,0,0,0.00303951367781155,0,0,0,0,0,0,0.0060790273556231,0,0.0243161094224924,0,0.00303951367781155,0,0,0,0.00911854103343465,0,0,0,0,0,0,0.0243161094224924,0,0,0.0121580547112462,0,0.0121580547112462,0.00303951367781155
