"sample.depths","sample.ages","upland.sum","Abies","Acer","Alnus","Betula","Caprifoliaceae","Carya","Castanea","Celtis","Cephalanthus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myricaceae","Nyssa","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnaceae","Rhus","Salix","Taxus","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Cannabaceae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae","Commelinaceae","Cyperaceae","Fabaceae","Galium","Hepatica","Liliaceae","Plantago","Poaceae.undiff.","Polygonum","Ranunculaceae.undiff.","Rosaceae","Rumex","Saxifragaceae","Thalictrum","Urticaceae","Zea.mays"
487,5735,417,0,7,37,27,0,32,3,0,2,0,0,1,15,11,0,7,1,1,1,0,0,0,9,0,5,9,3,0,197,0,1,0,0,0,28,12,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0
497,5818,482,0,14,40,34,0,29,3,0,1,0,0,0,30,16,2,3,0,0,0,0,0,0,3,0,7,8,3,1,216,0,0,0,0,2,51,9,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0
502,5859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,5900,435,0,17,27,13,0,37,5,0,3,0,0,0,9,11,0,3,3,0,1,0,1,1,1,0,4,10,4,0,210,0,0,0,0,2,60,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
517,5983,450,0,12,29,23,0,26,1,0,1,0,0,0,11,18,1,2,1,0,0,0,0,0,7,0,28,4,2,0,204,0,0,0,0,0,59,14,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0
537,6149,395,0,9,23,22,0,28,1,0,3,0,0,0,22,10,4,4,0,0,0,0,0,0,9,0,5,7,4,0,142,0,0,0,0,2,85,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
547,6232,396,0,9,24,14,0,30,1,0,0,2,3,0,20,13,0,3,0,1,0,0,0,0,4,0,4,3,0,2,204,0,0,0,0,1,44,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557,6315,444,0,7,17,23,0,20,1,0,0,0,0,0,32,14,0,2,0,2,0,0,0,0,3,0,6,15,5,0,236,0,0,0,0,0,44,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562,6356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577,6480,419,0,8,24,21,0,16,0,0,1,0,0,0,28,11,4,3,0,0,0,0,0,0,6,0,1,8,8,0,223,0,0,0,0,2,41,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
597,6646,433,0,13,14,21,0,14,0,0,1,1,0,0,34,10,0,4,0,0,0,0,2,3,7,0,2,4,3,0,224,0,0,0,0,0,61,7,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
607,6729,398,0,10,24,26,0,16,0,0,0,0,9,0,12,7,0,3,0,1,1,0,0,3,3,0,3,2,0,0,218,0,0,0,0,1,41,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
617,6812,429,0,9,9,17,0,12,0,0,0,0,0,0,34,13,0,5,0,0,1,0,1,0,6,0,2,8,0,0,255,0,0,0,0,2,41,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622,6853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
627,6894,440,0,9,11,19,0,13,0,0,0,0,0,0,29,14,1,7,0,0,1,0,0,0,6,0,5,5,1,0,256,0,0,0,0,0,47,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
637,6977,403,0,2,11,17,0,12,1,1,3,1,2,0,16,14,0,2,0,0,0,0,0,1,8,0,3,10,1,0,231,0,0,0,0,0,49,13,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
647,7060,409,0,3,15,11,0,9,1,0,1,2,1,0,20,7,0,3,0,0,1,0,0,0,2,0,5,1,4,0,279,0,0,0,0,1,32,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
662,7184,426,0,7,9,23,0,3,0,0,0,3,0,0,32,14,0,2,0,3,1,0,0,0,6,0,4,2,0,0,274,0,0,1,0,0,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0
667,7226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672,7267,439,0,8,13,18,0,5,2,0,3,1,0,4,21,11,0,0,0,1,0,0,0,1,7,0,6,5,6,0,289,0,0,1,0,4,23,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682,7350,418,0,5,9,24,0,8,2,1,0,1,0,0,21,16,0,0,0,1,1,0,0,0,3,0,3,11,6,0,261,0,1,0,0,1,26,5,4,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
692,7433,466,0,7,14,22,0,4,1,0,0,2,0,0,27,10,0,2,0,4,0,0,0,0,5,0,3,6,10,0,288,0,0,2,0,1,37,7,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
702,7516,456,0,7,14,22,0,4,1,0,0,2,0,0,27,10,0,2,0,4,0,0,0,0,5,0,3,6,10,0,288,0,0,2,0,1,37,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
707,7557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
712,7598,483,0,5,11,26,0,5,0,1,2,1,0,0,15,2,0,0,0,0,0,0,0,0,7,0,5,12,11,0,307,0,0,0,0,2,52,12,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0
722,7681,413,0,4,11,28,0,0,0,0,1,0,0,0,10,8,0,1,0,0,0,0,0,0,10,0,12,5,6,0,263,0,0,0,0,1,35,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
732,7764,466,0,4,10,16,0,1,0,0,1,3,0,0,3,19,1,0,0,0,0,0,0,2,12,0,21,5,2,0,277,0,0,0,0,2,70,10,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
747,7888,322,0,3,4,7,0,3,0,0,1,5,1,0,5,8,0,0,0,0,0,0,1,0,1,0,10,18,1,0,203,0,0,3,0,1,32,11,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
757.5,7975,482,1,2,4,17,0,1,0,0,0,1,0,0,7,3,0,1,0,0,0,0,0,1,18,0,27,13,10,0,332,0,0,2,0,1,25,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0
767.5,8058,584,0,2,6,16,0,5,1,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,5,1,15,31,2,0,441,0,0,2,0,0,29,11,1,0,1,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
777.5,8141,430,0,6,3,15,0,0,1,0,0,1,0,0,0,3,0,0,0,3,0,0,2,0,7,0,10,25,8,0,291,0,0,3,0,1,30,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
782.5,8182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
787.5,8224,474,0,1,7,12,0,0,0,0,0,4,0,0,3,5,0,3,0,4,0,0,0,0,16,0,24,34,5,0,307,0,1,0,0,2,26,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0
797.5,8306,422,0,2,5,12,0,0,0,0,0,0,2,0,1,6,0,1,0,3,0,0,1,0,4,0,32,20,2,0,266,0,0,1,0,0,43,13,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
802.5,8348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807.5,8389,440,1,2,6,14,0,0,2,1,0,3,2,0,2,4,0,0,0,5,0,0,0,0,9,0,23,44,3,0,287,0,0,0,0,0,17,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
822.5,8514,445,1,2,4,31,0,0,1,0,0,0,0,0,0,6,0,1,0,5,0,0,0,0,12,3,85,78,6,0,150,0,0,2,0,0,45,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
829.5,8572,408,0,6,7,13,0,1,0,0,1,1,0,0,6,7,0,0,0,5,0,0,0,0,11,0,19,19,7,1,254,0,0,4,0,1,28,7,4,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0
839.5,8654,472,0,6,4,11,0,2,0,0,2,0,0,0,8,8,0,1,0,0,0,0,0,0,8,0,10,24,4,0,339,0,0,0,0,1,30,5,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0
849.5,8737,420,0,2,4,7,0,0,0,0,0,2,0,0,0,6,0,0,0,2,0,0,0,0,6,0,12,15,2,0,312,0,0,2,0,0,25,8,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0
859.5,8820,429,0,1,1,8,0,0,0,0,0,2,0,0,3,16,0,0,0,3,0,0,0,0,9,2,20,27,0,0,307,0,0,2,0,0,16,6,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
869.5,8903,457,0,2,1,21,0,0,1,1,0,2,1,0,1,7,0,1,0,11,0,0,1,0,7,0,15,35,6,0,288,0,0,1,0,0,22,7,6,1,1,5,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0
