"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Carya","Castanea","Corylus","Ilex","Liquidambar","Nyssa","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.undiff.","Platanus","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Myrica","Amaranthaceae","Poaceae","Acer.rubrum","Fraxinus.undiff.","Taxodium","Tsuga","Vitis","Populus","Fagus","Polygonum.undiff.","Ranunculus","cf..Rhus","Cephalanthus","Ericaceae","Fabaceae.undiff.","Gentianella","Acer.undiff.","Cyperaceae","Hypericum","Cupressaceae.undiff.","Jasione","Boraginaceae.undiff.","Juglans","Plantaginaceae.undiff.","Parthenocissus","Picea","Brassicaceae","Iva","Xanthium","Magnolia","Rosaceae","Thalictrum","Apiaceae","Fraxinus..tricolpate.","Pinus.subg..Strobus","Tilia","Polygonum.persicaria.type","Fagus.Nyssa","Caryophyllaceae","cf..Rhamnus","Celtis","Asteraceae.subf..Cichorioideae","Plantago","Larix","Asteraceae.undiff.","Polygonella","cf..Sanguisorba","Heliotropium","Trifolium","cf..Verbena","Cornus","Acer.saccharum","Abies","Fraxinus..tetracolpate.","Parnassia","Epilobium","Impatiens","cf..Rumex","Polygala"
452,9796,486,0,3,11,0,0,1,7,6,4,4,218,1,172,0,1,1,1,0,1,0,34,0,4,0,0,0,5,3,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,9938,394,0,5,10,0,0,0,8,0,2,2,176,0,140,0,2,6,1,3,0,0,25,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,5,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,10080,392.5,0,1,9,0,1,0,11,6,0,4,83.5,0,238,0,6,2,0,1,0,0,18,0,2,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,10220,491,1,3,13,0,1,1,9,6,4,2,133,0,255,0,0,5,0,0,0,1,33,0,1,1,0,1,0,2,0,0,0,0,0,5,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,10360,480.5,2,2,9,0,0,0,2,3,4,0,160,1,201,0,2,9,0,4,0,0,50,0,1,0,0,0,1,9,0,0,0,0,0,1,0,0,10,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,10500,356,0,3,5,0,0,1,7,0,3,6,96,0,174,0,0,9,2,0,0,1,38,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,10638,355,0,2,9,0,1,0,10,1,1,3,69,1,185,2,2,3,3,0,0,1,38,1,3,0,1,0,0,1,0,2,0,0,1,0,0,0,11,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,10912,397,0,5,11,0,1,2,9,2,5,0,28,4,226,2,7,7,3,2,0,1,52,1,1,0,0,0,1,13,0,1,0,0,1,0,0,0,9,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,11049,512,1,5,14,0,0,5,15,5,9,0,36,2,299,1,7,11,2,2,0,0,64,0,3,0,1,0,6,11,0,0,0,1,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
492,11184,501.5,2,4,12,0,0,6,9,1,9,1,34.5,1,260,0,8,6,4,0,0,1,80,1,1,1,0,1,2,29,0,0,0,0,0,0,0,1,20,0,2,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
