"sample.depths","sample.ages","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Cupressaceae","Fagus","Ostrya.Carpinus","Picea","Quercus","Salix","Tilia","Tsuga","Ulmus","Alnus","Acer","Fraxinus","Juglans","Pinus","Populus","Poaceae","Corylus","Cyperaceae","Rosaceae","Abies","Asteraceae.undiff.","Sarcobatus.vermiculatus","Celtis","Thalictrum","Herbs.undiff.","Larix","Ericaceae","Shepherdia","Ephedra"
220,10938,0.00754716981132075,0.0188679245283019,0.116981132075472,0.0113207547169811,0.00188679245283019,0.00188679245283019,0,0.0811320754716981,0.0320754716981132,0.132075471698113,0.00188679245283019,0,0,0.0433962264150943,0.00377358490566038,0.0150943396226415,0.0245283018867925,0.00377358490566038,0.454716981132075,0.0188679245283019,0.00943396226415094,0.00754716981132075,0,0.00188679245283019,0,0.00188679245283019,0,0,0,0.00377358490566038,0.00566037735849057,0,0,0
230,11087,0.0119047619047619,0.0654761904761905,0.0634920634920635,0.0138888888888889,0.00595238095238095,0,0,0.0615079365079365,0.0357142857142857,0.14484126984127,0.00396825396825397,0,0,0.0634920634920635,0.00198412698412698,0.00595238095238095,0.0238095238095238,0.00396825396825397,0.458333333333333,0.0119047619047619,0.00595238095238095,0.00595238095238095,0.00595238095238095,0,0,0.00595238095238095,0,0,0,0,0,0,0,0
235,11148,0.0198412698412698,0.0992063492063492,0.0396825396825397,0.0138888888888889,0.00198412698412698,0,0,0.0376984126984127,0.0317460317460317,0.125,0.00595238095238095,0,0,0.0337301587301587,0,0,0.0198412698412698,0.0158730158730159,0.511904761904762,0.00396825396825397,0.00198412698412698,0.00793650793650794,0.00793650793650794,0.00396825396825397,0,0.00992063492063492,0.00198412698412698,0.00396825396825397,0,0.00198412698412698,0,0,0,0
240,11204,0.0117878192534381,0.210216110019646,0.0471512770137525,0.0137524557956778,0,0,0,0.0392927308447937,0.1237721021611,0.119842829076621,0.00589390962671906,0,0,0.0353634577603143,0.00196463654223969,0.00785854616895874,0.0157170923379175,0.0117878192534381,0.320235756385069,0.0117878192534381,0.00392927308447937,0,0.00785854616895874,0.00196463654223969,0,0.00785854616895874,0,0,0,0.00196463654223969,0,0,0,0
245,11256,0.0148148148148148,0.161111111111111,0.037037037037037,0.012962962962963,0.00185185185185185,0.00185185185185185,0,0.0222222222222222,0.274074074074074,0.109259259259259,0.00555555555555556,0.00185185185185185,0,0.0222222222222222,0.00185185185185185,0,0.0259259259259259,0.012962962962963,0.177777777777778,0.0666666666666667,0.0111111111111111,0.012962962962963,0.00925925925925926,0.00185185185185185,0,0.00925925925925926,0,0.0037037037037037,0,0,0,0,0.00185185185185185,0
250,11306,0.00968992248062015,0.170542635658915,0.0736434108527132,0.00775193798449612,0.00581395348837209,0,0,0.0368217054263566,0.215116279069767,0.180232558139535,0.00387596899224806,0,0,0.0426356589147287,0.00387596899224806,0.00387596899224806,0.0426356589147287,0.00775193798449612,0.12015503875969,0.00775193798449612,0.0155038759689922,0.00387596899224806,0.0155038759689922,0.00193798449612403,0.00387596899224806,0.00968992248062015,0.00387596899224806,0.00387596899224806,0.00193798449612403,0.00193798449612403,0.00387596899224806,0,0,0.00193798449612403
255,NA,0.006,0.214,0.036,0,0.002,0,0,0.012,0.536,0.048,0.002,0,0,0.004,0.018,0,0.002,0.002,0.048,0.006,0.01,0.018,0.008,0.004,0.002,0.008,0,0,0.002,0.006,0.002,0,0.004,0
260,NA,0.0444444444444444,0.24040404040404,0.0686868686868687,0.00404040404040404,0.00202020202020202,0.00606060606060606,0,0.0181818181818182,0.329292929292929,0.0767676767676768,0.00606060606060606,0,0,0.0101010101010101,0.0141414141414141,0.00404040404040404,0.0161616161616162,0,0.0383838383838384,0.0141414141414141,0.0202020202020202,0.0161616161616162,0.0222222222222222,0,0,0.0141414141414141,0,0.0181818181818182,0.00606060606060606,0.00606060606060606,0,0,0.00404040404040404,0
270,NA,0.038,0.25,0.036,0,0.004,0.004,0,0.026,0.428,0.062,0.01,0,0,0,0.004,0,0.006,0,0.034,0.008,0.016,0,0.04,0.01,0,0.008,0,0,0.002,0.008,0.004,0,0.002,0
280,NA,0.0346153846153846,0.205769230769231,0.0134615384615385,0,0.00961538461538462,0.00576923076923077,0,0.0307692307692308,0.519230769230769,0.0557692307692308,0.0153846153846154,0,0,0,0.00192307692307692,0,0.0153846153846154,0,0.00961538461538462,0.00384615384615385,0.0211538461538462,0.00384615384615385,0.0288461538461538,0.00192307692307692,0,0.00769230769230769,0,0.00769230769230769,0.00192307692307692,0,0,0,0.00192307692307692,0.00384615384615385
290,NA,0.0848484848484849,0.254545454545455,0.0121212121212121,0.0121212121212121,0.00808080808080808,0.00606060606060606,0,0.0606060606060606,0.266666666666667,0.0747474747474747,0.0303030303030303,0,0,0.00404040404040404,0.00202020202020202,0,0.0464646464646465,0.00404040404040404,0.00808080808080808,0.0141414141414141,0.0343434343434343,0.00404040404040404,0.0363636363636364,0.00808080808080808,0,0.0141414141414141,0.00202020202020202,0,0.00404040404040404,0.00202020202020202,0,0.00202020202020202,0.00202020202020202,0.00202020202020202
300,NA,0.0435684647302905,0.186721991701245,0.0103734439834025,0.004149377593361,0.004149377593361,0.00622406639004149,0,0.0497925311203319,0.280082987551867,0.0663900414937759,0.00829875518672199,0,0,0.0145228215767635,0,0.0020746887966805,0.128630705394191,0.0020746887966805,0.016597510373444,0.0352697095435685,0.0269709543568465,0,0.0622406639004149,0.0103734439834025,0,0.0103734439834025,0,0,0.004149377593361,0.0103734439834025,0.00829875518672199,0,0.0020746887966805,0.00622406639004149
310,NA,0.0662525879917184,0.178053830227743,0.0082815734989648,0.0041407867494824,0.0062111801242236,0.0041407867494824,0,0.0331262939958592,0.204968944099379,0.0766045548654244,0.0186335403726708,0,0,0.0062111801242236,0,0.0020703933747412,0.0952380952380952,0.0020703933747412,0.010351966873706,0.0248447204968944,0.0331262939958592,0.0020703933747412,0.151138716356108,0.0062111801242236,0,0.0165631469979296,0,0.0041407867494824,0.0020703933747412,0.0165631469979296,0.0041407867494824,0.0020703933747412,0,0.020703933747412
320,NA,0.0748987854251012,0.135627530364372,0.01417004048583,0.00809716599190283,0.00202429149797571,0,0,0.0445344129554656,0.157894736842105,0.137651821862348,0.0222672064777328,0,0,0.00809716599190283,0,0.00404858299595142,0.12753036437247,0,0.01417004048583,0.0222672064777328,0.0303643724696356,0.0121457489878543,0.11336032388664,0.00809716599190283,0,0.00607287449392713,0,0.0161943319838057,0.00607287449392713,0.0222672064777328,0,0.00404858299595142,0,0.00809716599190283
330,NA,0.074688796680498,0.0829875518672199,0.0186721991701245,0.00829875518672199,0.0020746887966805,0.004149377593361,0,0.04149377593361,0.153526970954357,0.0912863070539419,0.029045643153527,0,0,0.00622406639004149,0.004149377593361,0.0020746887966805,0.163900414937759,0,0.0145228215767635,0.020746887966805,0.0394190871369295,0.0145228215767635,0.159751037344398,0.016597510373444,0,0.0145228215767635,0,0.016597510373444,0.004149377593361,0.012448132780083,0,0,0,0.004149377593361
